Pays;Arrivées;Nuitées;Année.mois;Région
Autres Amérique du Sud;12;15;01.07.2023;Nyon-St-Cergue et env.
Autres Asie de l'Est;22;57;01.07.2023;Nyon-St-Cergue et env.
Autres Asie de l'Ouest;9;18;01.07.2023;Nyon-St-Cergue et env.
Autres Europe;98;169;01.07.2023;Nyon-St-Cergue et env.
Autriche;68;122;01.07.2023;Nyon-St-Cergue et env.
Bahreïn;1;2;01.07.2023;Nyon-St-Cergue et env.
Belgique;214;418;01.07.2023;Nyon-St-Cergue et env.
Brésil;25;45;01.07.2023;Nyon-St-Cergue et env.
Bulgarie;4;8;01.07.2023;Nyon-St-Cergue et env.
Canada;50;145;01.07.2023;Nyon-St-Cergue et env.
Chili;2;12;01.07.2023;Nyon-St-Cergue et env.
Chine (sans Hongkong);187;212;01.07.2023;Nyon-St-Cergue et env.
Chypre;2;2;01.07.2023;Nyon-St-Cergue et env.
Croatie;6;10;01.07.2023;Nyon-St-Cergue et env.
Danemark;63;125;01.07.2023;Nyon-St-Cergue et env.
Egypte;11;61;01.07.2023;Nyon-St-Cergue et env.
Emirats Arabes Unis;51;177;01.07.2023;Nyon-St-Cergue et env.
Espagne;115;165;01.07.2023;Nyon-St-Cergue et env.
Estonie;3;4;01.07.2023;Nyon-St-Cergue et env.
Etats-Unis d'Amérique;265;650;01.07.2023;Nyon-St-Cergue et env.
Finlande;19;29;01.07.2023;Nyon-St-Cergue et env.
France;1691;3010;01.07.2023;Nyon-St-Cergue et env.
Grèce;12;61;01.07.2023;Nyon-St-Cergue et env.
Hongkong;2;3;01.07.2023;Nyon-St-Cergue et env.
Hongrie;26;55;01.07.2023;Nyon-St-Cergue et env.
Inde;566;597;01.07.2023;Nyon-St-Cergue et env.
Iran (Perse);5;52;01.07.2023;Nyon-St-Cergue et env.
Irlande (Eire);33;102;01.07.2023;Nyon-St-Cergue et env.
Islande;7;10;01.07.2023;Nyon-St-Cergue et env.
Israël;24;51;01.07.2023;Nyon-St-Cergue et env.
Italie;282;747;01.07.2023;Nyon-St-Cergue et env.
Japon;95;175;01.07.2023;Nyon-St-Cergue et env.
Koweït;17;128;01.07.2023;Nyon-St-Cergue et env.
Lettonie;4;22;01.07.2023;Nyon-St-Cergue et env.
Liechtenstein;5;19;01.07.2023;Nyon-St-Cergue et env.
Lituanie;6;6;01.07.2023;Nyon-St-Cergue et env.
Luxembourg;30;82;01.07.2023;Nyon-St-Cergue et env.
Malaisie;2;8;01.07.2023;Nyon-St-Cergue et env.
Malte;;;01.07.2023;Nyon-St-Cergue et env.
Mexique;10;30;01.07.2023;Nyon-St-Cergue et env.
Norvège;10;12;01.07.2023;Nyon-St-Cergue et env.
Nouvelle-Zélande, Océanie;7;19;01.07.2023;Nyon-St-Cergue et env.
Oman;;;01.07.2023;Nyon-St-Cergue et env.
Pays-Bas;161;345;01.07.2023;Nyon-St-Cergue et env.
Philippines;11;21;01.07.2023;Nyon-St-Cergue et env.
Pologne;41;97;01.07.2023;Nyon-St-Cergue et env.
Portugal;39;79;01.07.2023;Nyon-St-Cergue et env.
Qatar;2;8;01.07.2023;Nyon-St-Cergue et env.
République de Corée;3;8;01.07.2023;Nyon-St-Cergue et env.
République tchèque;51;75;01.07.2023;Nyon-St-Cergue et env.
Roumanie;23;38;01.07.2023;Nyon-St-Cergue et env.
Royaume-Uni;418;978;01.07.2023;Nyon-St-Cergue et env.
Russie;21;101;01.07.2023;Nyon-St-Cergue et env.
Serbie;2;2;01.07.2023;Nyon-St-Cergue et env.
Singapour;17;26;01.07.2023;Nyon-St-Cergue et env.
Slovaquie;10;13;01.07.2023;Nyon-St-Cergue et env.
Slovénie;3;6;01.07.2023;Nyon-St-Cergue et env.
Suède;35;80;01.07.2023;Nyon-St-Cergue et env.
Suisse;7467;14561;01.07.2023;Nyon-St-Cergue et env.
Thaïlande;2;4;01.07.2023;Nyon-St-Cergue et env.
Turquie;50;65;01.07.2023;Nyon-St-Cergue et env.
Ukraine;7;9;01.07.2023;Nyon-St-Cergue et env.
Allemagne;50;66;01.07.2023;Payerne et env.
Autres Afrique;8;8;01.07.2023;Payerne et env.
Autres Amérique centrale, Caraïbes;2;2;01.07.2023;Payerne et env.
Autres Europe;3;27;01.07.2023;Payerne et env.
Autriche;;;01.07.2023;Payerne et env.
Belgique;;;01.07.2023;Payerne et env.
Chine (sans Hongkong);;;01.07.2023;Payerne et env.
Danemark;1;1;01.07.2023;Payerne et env.
Espagne;2;2;01.07.2023;Payerne et env.
Etats-Unis d'Amérique;;;01.07.2023;Payerne et env.
France;72;99;01.07.2023;Payerne et env.
Italie;41;100;01.07.2023;Payerne et env.
Norvège;;;01.07.2023;Payerne et env.
Pays-Bas;10;10;01.07.2023;Payerne et env.
Pologne;;;01.07.2023;Payerne et env.
Portugal;12;42;01.07.2023;Payerne et env.
Roumanie;4;4;01.07.2023;Payerne et env.
Royaume-Uni;2;5;01.07.2023;Payerne et env.
Serbie;;;01.07.2023;Payerne et env.
Slovénie;1;6;01.07.2023;Payerne et env.
Suisse;220;241;01.07.2023;Payerne et env.
Allemagne;48;75;01.07.2023;Vallée de Joux
Arabie Saoudite;4;18;01.07.2023;Vallée de Joux
Argentine;;;01.07.2023;Vallée de Joux
Australie;13;26;01.07.2023;Vallée de Joux
Autres Afrique;6;10;01.07.2023;Vallée de Joux
Autres Afrique du Nord;;;01.07.2023;Vallée de Joux
Autres Amérique du Sud;1;2;01.07.2023;Vallée de Joux
Autres Asie de l'Est;1;2;01.07.2023;Vallée de Joux
Autres Asie de l'Ouest;2;2;01.07.2023;Vallée de Joux
Autres Europe;1;1;01.07.2023;Vallée de Joux
Autriche;11;15;01.07.2023;Vallée de Joux
Belgique;28;61;01.07.2023;Vallée de Joux
Brésil;1;2;01.07.2023;Vallée de Joux
Bulgarie;;;01.07.2023;Vallée de Joux
Canada;8;12;01.07.2023;Vallée de Joux
Chine (sans Hongkong);26;46;01.07.2023;Vallée de Joux
Croatie;2;2;01.07.2023;Vallée de Joux
Danemark;11;13;01.07.2023;Vallée de Joux
Emirats Arabes Unis;3;6;01.07.2023;Vallée de Joux
Espagne;7;14;01.07.2023;Vallée de Joux
Etats-Unis d'Amérique;26;59;01.07.2023;Vallée de Joux
Finlande;;;01.07.2023;Vallée de Joux
France;254;520;01.07.2023;Vallée de Joux
Grèce;;;01.07.2023;Vallée de Joux
Hongkong;1;2;01.07.2023;Vallée de Joux
Inde;;;01.07.2023;Vallée de Joux
Indonésie;;;01.07.2023;Vallée de Joux
Irlande (Eire);1;2;01.07.2023;Vallée de Joux
Israël;6;12;01.07.2023;Vallée de Joux
Italie;19;32;01.07.2023;Vallée de Joux
Koweït;2;2;01.07.2023;Vallée de Joux
Liechtenstein;2;4;01.07.2023;Vallée de Joux
Luxembourg;3;7;01.07.2023;Vallée de Joux
Malaisie;;;01.07.2023;Vallée de Joux
Mexique;5;5;01.07.2023;Vallée de Joux
Norvège;1;5;01.07.2023;Vallée de Joux
Pays-Bas;6;10;01.07.2023;Vallée de Joux
Pologne;;;01.07.2023;Vallée de Joux
Portugal;7;9;01.07.2023;Vallée de Joux
République de Corée;1;2;01.07.2023;Vallée de Joux
République tchèque;3;3;01.07.2023;Vallée de Joux
Roumanie;2;4;01.07.2023;Vallée de Joux
Royaume-Uni;33;70;01.07.2023;Vallée de Joux
Russie;2;2;01.07.2023;Vallée de Joux
Serbie;;;01.07.2023;Vallée de Joux
Singapour;5;10;01.07.2023;Vallée de Joux
Suisse;2224;3776;01.07.2023;Vallée de Joux
Thaïlande;;;01.07.2023;Vallée de Joux
Ukraine;1;2;01.07.2023;Vallée de Joux
Afrique du Sud;2;4;01.07.2023;Villars-Diablerets-Gryon-Bex
Allemagne;287;547;01.07.2023;Villars-Diablerets-Gryon-Bex
Arabie Saoudite;17;77;01.07.2023;Villars-Diablerets-Gryon-Bex
Argentine;;;01.07.2023;Villars-Diablerets-Gryon-Bex
Australie;9;20;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Afrique;10;48;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Afrique du Nord;7;9;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Amérique centrale, Caraïbes;5;10;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Amérique du Sud;4;5;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Asie de l'Est;17;60;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Asie de l'Ouest;4;10;01.07.2023;Villars-Diablerets-Gryon-Bex
Autres Europe;14;114;01.07.2023;Villars-Diablerets-Gryon-Bex
Autriche;36;67;01.07.2023;Villars-Diablerets-Gryon-Bex
Belgique;204;490;01.07.2023;Villars-Diablerets-Gryon-Bex
Brésil;51;149;01.07.2023;Villars-Diablerets-Gryon-Bex
Bulgarie;4;4;01.07.2023;Villars-Diablerets-Gryon-Bex
Canada;13;31;01.07.2023;Villars-Diablerets-Gryon-Bex
Chili;8;17;01.07.2023;Villars-Diablerets-Gryon-Bex
Chine (sans Hongkong);302;634;01.07.2023;Villars-Diablerets-Gryon-Bex
Chine (Taiwan);1;1;01.07.2023;Villars-Diablerets-Gryon-Bex
Chypre;4;5;01.07.2023;Villars-Diablerets-Gryon-Bex
Danemark;25;52;01.07.2023;Villars-Diablerets-Gryon-Bex
Egypte;1;2;01.07.2023;Villars-Diablerets-Gryon-Bex
Emirats Arabes Unis;32;152;01.07.2023;Villars-Diablerets-Gryon-Bex
Espagne;57;114;01.07.2023;Villars-Diablerets-Gryon-Bex
Estonie;2;4;01.07.2023;Villars-Diablerets-Gryon-Bex
Etats-Unis d'Amérique;896;3798;01.07.2023;Villars-Diablerets-Gryon-Bex
Finlande;7;11;01.07.2023;Villars-Diablerets-Gryon-Bex
France;1184;1867;01.07.2023;Villars-Diablerets-Gryon-Bex
Grèce;2;3;01.07.2023;Villars-Diablerets-Gryon-Bex
Hongkong;23;58;01.07.2023;Villars-Diablerets-Gryon-Bex
Hongrie;10;23;01.07.2023;Villars-Diablerets-Gryon-Bex
Inde;54;108;01.07.2023;Villars-Diablerets-Gryon-Bex
Indonésie;13;21;01.07.2023;Villars-Diablerets-Gryon-Bex
Irlande (Eire);5;17;01.07.2023;Villars-Diablerets-Gryon-Bex
Israël;21;39;01.07.2023;Villars-Diablerets-Gryon-Bex
Italie;169;250;01.07.2023;Villars-Diablerets-Gryon-Bex
Japon;42;170;01.07.2023;Villars-Diablerets-Gryon-Bex
Koweït;7;41;01.07.2023;Villars-Diablerets-Gryon-Bex
Lettonie;;;01.07.2023;Villars-Diablerets-Gryon-Bex
Lituanie;3;3;01.07.2023;Villars-Diablerets-Gryon-Bex
Luxembourg;7;17;01.07.2023;Villars-Diablerets-Gryon-Bex
Malaisie;2;2;01.07.2023;Villars-Diablerets-Gryon-Bex
Mexique;7;7;01.07.2023;Villars-Diablerets-Gryon-Bex
Norvège;4;4;01.07.2023;Villars-Diablerets-Gryon-Bex
Nouvelle-Zélande, Océanie;3;3;01.07.2023;Villars-Diablerets-Gryon-Bex
Pays-Bas;114;177;01.07.2023;Villars-Diablerets-Gryon-Bex
Philippines;;;01.07.2023;Villars-Diablerets-Gryon-Bex
Pologne;8;9;01.07.2023;Villars-Diablerets-Gryon-Bex
Portugal;21;44;01.07.2023;Villars-Diablerets-Gryon-Bex
Qatar;4;16;01.07.2023;Villars-Diablerets-Gryon-Bex
République de Corée;4;4;01.07.2023;Villars-Diablerets-Gryon-Bex
République tchèque;47;100;01.07.2023;Villars-Diablerets-Gryon-Bex
Roumanie;13;56;01.07.2023;Villars-Diablerets-Gryon-Bex
Royaume-Uni;271;638;01.07.2023;Villars-Diablerets-Gryon-Bex
Russie;66;307;01.07.2023;Villars-Diablerets-Gryon-Bex
Serbie;11;23;01.07.2023;Villars-Diablerets-Gryon-Bex
Singapour;10;20;01.07.2023;Villars-Diablerets-Gryon-Bex
Slovaquie;4;12;01.07.2023;Villars-Diablerets-Gryon-Bex
Slovénie;1;5;01.07.2023;Villars-Diablerets-Gryon-Bex
Suède;32;87;01.07.2023;Villars-Diablerets-Gryon-Bex
Suisse;7916;14553;01.07.2023;Villars-Diablerets-Gryon-Bex
Thaïlande;17;37;01.07.2023;Villars-Diablerets-Gryon-Bex
Turquie;16;70;01.07.2023;Villars-Diablerets-Gryon-Bex
Ukraine;10;10;01.07.2023;Villars-Diablerets-Gryon-Bex
Afrique du Sud;;;01.07.2023;Yverdon-les-Bains Région
Allemagne;312;562;01.07.2023;Yverdon-les-Bains Région
Arabie Saoudite;3;3;01.07.2023;Yverdon-les-Bains Région
Australie;2;4;01.07.2023;Yverdon-les-Bains Région
Autres Afrique;8;8;01.07.2023;Yverdon-les-Bains Région
Autres Afrique du Nord;1;1;01.07.2023;Yverdon-les-Bains Région
Autres Amérique du Sud;;;01.07.2023;Yverdon-les-Bains Région
Autres Asie de l'Est;3;4;01.07.2023;Yverdon-les-Bains Région
Autres Asie de l'Ouest;2;2;01.07.2023;Yverdon-les-Bains Région
Autres Europe;3;5;01.07.2023;Yverdon-les-Bains Région
Autriche;15;20;01.07.2023;Yverdon-les-Bains Région
Belgique;94;157;01.07.2023;Yverdon-les-Bains Région
Biélorussie;2;2;01.07.2023;Yverdon-les-Bains Région
Brésil;1;1;01.07.2023;Yverdon-les-Bains Région
Bulgarie;2;6;01.07.2023;Yverdon-les-Bains Région
Canada;7;18;01.07.2023;Yverdon-les-Bains Région
Chine (sans Hongkong);26;26;01.07.2023;Yverdon-les-Bains Région
Chypre;;;01.07.2023;Yverdon-les-Bains Région
Croatie;3;10;01.07.2023;Yverdon-les-Bains Région
Danemark;20;26;01.07.2023;Yverdon-les-Bains Région
Emirats Arabes Unis;15;27;01.07.2023;Yverdon-les-Bains Région
Espagne;34;48;01.07.2023;Yverdon-les-Bains Région
Estonie;2;6;01.07.2023;Yverdon-les-Bains Région
Etats-Unis d'Amérique;90;208;01.07.2023;Yverdon-les-Bains Région
Finlande;2;2;01.07.2023;Yverdon-les-Bains Région
France;840;1337;01.07.2023;Yverdon-les-Bains Région
Grèce;2;2;01.07.2023;Yverdon-les-Bains Région
Hongkong;6;6;01.07.2023;Yverdon-les-Bains Région
Hongrie;2;12;01.07.2023;Yverdon-les-Bains Région
Inde;5;6;01.07.2023;Yverdon-les-Bains Région
Irlande (Eire);3;6;01.07.2023;Yverdon-les-Bains Région
Islande;;;01.07.2023;Yverdon-les-Bains Région
Israël;24;57;01.07.2023;Yverdon-les-Bains Région
Italie;122;217;01.07.2023;Yverdon-les-Bains Région
Japon;0;6;01.07.2023;Yverdon-les-Bains Région
Liechtenstein;10;16;01.07.2023;Yverdon-les-Bains Région
Lituanie;6;6;01.07.2023;Yverdon-les-Bains Région
Luxembourg;13;20;01.07.2023;Yverdon-les-Bains Région
Malaisie;;;01.07.2023;Yverdon-les-Bains Région
Norvège;4;12;01.07.2023;Yverdon-les-Bains Région
Nouvelle-Zélande, Océanie;1;1;01.07.2023;Yverdon-les-Bains Région
Pays-Bas;75;200;01.07.2023;Yverdon-les-Bains Région
Pologne;15;33;01.07.2023;Yverdon-les-Bains Région
Portugal;11;53;01.07.2023;Yverdon-les-Bains Région
Qatar;6;10;01.07.2023;Yverdon-les-Bains Région
République de Corée;4;8;01.07.2023;Yverdon-les-Bains Région
République tchèque;16;33;01.07.2023;Yverdon-les-Bains Région
Roumanie;11;51;01.07.2023;Yverdon-les-Bains Région
Royaume-Uni;84;145;01.07.2023;Yverdon-les-Bains Région
Russie;9;13;01.07.2023;Yverdon-les-Bains Région
Serbie;2;9;01.07.2023;Yverdon-les-Bains Région
Singapour;2;4;01.07.2023;Yverdon-les-Bains Région
Slovaquie;;;01.07.2023;Yverdon-les-Bains Région
Slovénie;;;01.07.2023;Yverdon-les-Bains Région
Suède;11;14;01.07.2023;Yverdon-les-Bains Région
Suisse;5867;10647;01.07.2023;Yverdon-les-Bains Région
Thaïlande;;;01.07.2023;Yverdon-les-Bains Région
Turquie;2;6;01.07.2023;Yverdon-les-Bains Région
Ukraine;5;8;01.07.2023;Yverdon-les-Bains Région
Afrique du Sud;1478;3548;01.08.2023;Suisse total
Allemagne;207574;446890;01.08.2023;Suisse total
Arabie Saoudite;24196;67843;01.08.2023;Suisse total
Argentine;2220;4555;01.08.2023;Suisse total
Australie;20332;40732;01.08.2023;Suisse total
Autres Afrique;3825;10464;01.08.2023;Suisse total
Autres Afrique du Nord;1916;5276;01.08.2023;Suisse total
Autres Amérique centrale, Caraïbes;3360;7453;01.08.2023;Suisse total
Autres Amérique du Sud;3040;6781;01.08.2023;Suisse total
Autres Asie de l'Est;8364;16219;01.08.2023;Suisse total
Autres Asie de l'Ouest;4209;10085;01.08.2023;Suisse total
Autres Europe;5131;10706;01.08.2023;Suisse total
Autriche;21703;43410;01.08.2023;Suisse total
Bahreïn;1043;3271;01.08.2023;Suisse total
Belgique;28110;97965;01.08.2023;Suisse total
Biélorussie;500;965;01.08.2023;Suisse total
Brésil;8003;17351;01.08.2023;Suisse total
Bulgarie;1956;4430;01.08.2023;Suisse total
Canada;19182;37801;01.08.2023;Suisse total
Chili;792;1700;01.08.2023;Suisse total
Chine (sans Hongkong);46224;67212;01.08.2023;Suisse total
Chine (Taiwan);14883;22860;01.08.2023;Suisse total
Chypre;1175;3016;01.08.2023;Suisse total
Croatie;1491;3673;01.08.2023;Suisse total
Danemark;5806;11556;01.08.2023;Suisse total
Egypte;1289;3101;01.08.2023;Suisse total
Emirats Arabes Unis;20835;60075;01.08.2023;Suisse total
Espagne;38624;71920;01.08.2023;Suisse total
Estonie;1003;2284;01.08.2023;Suisse total
Etats-Unis d'Amérique;169205;343507;01.08.2023;Suisse total
Finlande;3232;6308;01.08.2023;Suisse total
France;103184;185930;01.08.2023;Suisse total
Grèce;3239;7245;01.08.2023;Suisse total
Hongkong;7333;13169;01.08.2023;Suisse total
Hongrie;4534;11169;01.08.2023;Suisse total
Inde;23184;50489;01.08.2023;Suisse total
Indonésie;2316;4140;01.08.2023;Suisse total
Iran (Perse);857;2057;01.08.2023;Suisse total
Irlande (Eire);4965;10071;01.08.2023;Suisse total
Islande;581;1184;01.08.2023;Suisse total
Israël;15007;39474;01.08.2023;Suisse total
Italie;55872;110193;01.08.2023;Suisse total
Japon;17752;32402;01.08.2023;Suisse total
Koweït;9980;29510;01.08.2023;Suisse total
Lettonie;1063;2320;01.08.2023;Suisse total
Liechtenstein;1762;3609;01.08.2023;Suisse total
Lituanie;1573;2629;01.08.2023;Suisse total
Luxembourg;6088;12699;01.08.2023;Suisse total
Malaisie;3790;6679;01.08.2023;Suisse total
Malte;1054;2331;01.08.2023;Suisse total
Mexique;6616;12536;01.08.2023;Suisse total
Norvège;3083;5784;01.08.2023;Suisse total
Nouvelle-Zélande, Océanie;2656;5350;01.08.2023;Suisse total
Oman;1366;3483;01.08.2023;Suisse total
Pays-Bas;61069;114580;01.08.2023;Suisse total
Philippines;1782;4278;01.08.2023;Suisse total
Pologne;10455;23500;01.08.2023;Suisse total
Portugal;5493;11712;01.08.2023;Suisse total
Qatar;5860;17722;01.08.2023;Suisse total
République de Corée;29306;47538;01.08.2023;Suisse total
République tchèque;7809;17234;01.08.2023;Suisse total
Roumanie;5844;13253;01.08.2023;Suisse total
Royaume-Uni;88666;186414;01.08.2023;Suisse total
Russie;3887;10215;01.08.2023;Suisse total
Serbie;882;2112;01.08.2023;Suisse total
Singapour;5912;12393;01.08.2023;Suisse total
Slovaquie;1961;4715;01.08.2023;Suisse total
Slovénie;1235;2846;01.08.2023;Suisse total
Suède;6878;12947;01.08.2023;Suisse total
Suisse;1109339;2125495;01.08.2023;Suisse total
Thaïlande;6393;11108;01.08.2023;Suisse total
Turquie;4469;9500;01.08.2023;Suisse total
Ukraine;4115;8784;01.08.2023;Suisse total
Afrique du Sud;84;313;01.08.2023;VD total
Allemagne;7751;15169;01.08.2023;VD total
Arabie Saoudite;1744;5563;01.08.2023;VD total
Argentine;105;310;01.08.2023;VD total
Australie;719;1427;01.08.2023;VD total
Autres Afrique;216;869;01.08.2023;VD total
Autres Afrique du Nord;177;591;01.08.2023;VD total
Autres Amérique centrale, Caraïbes;111;308;01.08.2023;VD total
Autres Amérique du Sud;154;355;01.08.2023;VD total
Autres Asie de l'Est;350;730;01.08.2023;VD total
Autres Asie de l'Ouest;333;832;01.08.2023;VD total
Autres Europe;441;987;01.08.2023;VD total
Autriche;706;1298;01.08.2023;VD total
Bahreïn;67;232;01.08.2023;VD total
Belgique;2911;14042;01.08.2023;VD total
Biélorussie;57;82;01.08.2023;VD total
Brésil;432;1104;01.08.2023;VD total
Bulgarie;91;203;01.08.2023;VD total
Canada;997;2118;01.08.2023;VD total
Chili;44;102;01.08.2023;VD total
Chine (sans Hongkong);3837;5531;01.08.2023;VD total
Chine (Taiwan);294;397;01.08.2023;VD total
Chypre;77;165;01.08.2023;VD total
Croatie;69;179;01.08.2023;VD total
Danemark;296;714;01.08.2023;VD total
Egypte;66;177;01.08.2023;VD total
Emirats Arabes Unis;1163;4591;01.08.2023;VD total
Espagne;2604;4750;01.08.2023;VD total
Estonie;104;139;01.08.2023;VD total
Etats-Unis d'Amérique;7908;18080;01.08.2023;VD total
Finlande;191;367;01.08.2023;VD total
France;19205;35593;01.08.2023;VD total
Grèce;357;822;01.08.2023;VD total
Hongkong;222;417;01.08.2023;VD total
Hongrie;204;485;01.08.2023;VD total
Inde;1300;2269;01.08.2023;VD total
Indonésie;59;111;01.08.2023;VD total
Iran (Perse);44;111;01.08.2023;VD total
Irlande (Eire);339;848;01.08.2023;VD total
Islande;15;51;01.08.2023;VD total
Israël;342;815;01.08.2023;VD total
Italie;2997;5825;01.08.2023;VD total
Japon;621;1400;01.08.2023;VD total
Koweït;933;3658;01.08.2023;VD total
Lettonie;66;92;01.08.2023;VD total
Liechtenstein;37;51;01.08.2023;VD total
Lituanie;88;148;01.08.2023;VD total
Luxembourg;924;1571;01.08.2023;VD total
Malaisie;118;205;01.08.2023;VD total
Malte;108;257;01.08.2023;VD total
Mexique;447;938;01.08.2023;VD total
Norvège;155;307;01.08.2023;VD total
Nouvelle-Zélande, Océanie;107;192;01.08.2023;VD total
Oman;40;125;01.08.2023;VD total
Pays-Bas;2170;4515;01.08.2023;VD total
Philippines;28;85;01.08.2023;VD total
Pologne;516;1210;01.08.2023;VD total
Portugal;557;1526;01.08.2023;VD total
Qatar;323;1282;01.08.2023;VD total
République de Corée;695;959;01.08.2023;VD total
République tchèque;489;1092;01.08.2023;VD total
Roumanie;328;781;01.08.2023;VD total
Royaume-Uni;5669;11587;01.08.2023;VD total
Russie;324;793;01.08.2023;VD total
Serbie;35;111;01.08.2023;VD total
Singapour;234;503;01.08.2023;VD total
Slovaquie;82;211;01.08.2023;VD total
Slovénie;35;106;01.08.2023;VD total
Suède;315;589;01.08.2023;VD total
Suisse;79546;148782;01.08.2023;VD total
Thaïlande;274;500;01.08.2023;VD total
Turquie;216;532;01.08.2023;VD total
Ukraine;277;716;01.08.2023;VD total
Afrique du Sud;2;2;01.08.2023;Alpes VD
Allemagne;713;1733;01.08.2023;Alpes VD
Arabie Saoudite;190;391;01.08.2023;Alpes VD
Argentine;5;5;01.08.2023;Alpes VD
Australie;29;44;01.08.2023;Alpes VD
Autres Afrique;10;14;01.08.2023;Alpes VD
Autres Afrique du Nord;4;7;01.08.2023;Alpes VD
Autres Amérique centrale, Caraïbes;4;14;01.08.2023;Alpes VD
Autres Amérique du Sud;13;34;01.08.2023;Alpes VD
Autres Asie de l'Est;37;42;01.08.2023;Alpes VD
Autres Asie de l'Ouest;7;21;01.08.2023;Alpes VD
Autres Europe;27;89;01.08.2023;Alpes VD
Autriche;25;68;01.08.2023;Alpes VD
Belgique;1207;10056;01.08.2023;Alpes VD
Biélorussie;;;01.08.2023;Alpes VD
Brésil;25;71;01.08.2023;Alpes VD
Bulgarie;17;29;01.08.2023;Alpes VD
Canada;28;66;01.08.2023;Alpes VD
Chili;6;10;01.08.2023;Alpes VD
Chine (sans Hongkong);649;926;01.08.2023;Alpes VD
Chypre;2;2;01.08.2023;Alpes VD
Danemark;12;28;01.08.2023;Alpes VD
Egypte;11;34;01.08.2023;Alpes VD
Emirats Arabes Unis;71;170;01.08.2023;Alpes VD
Espagne;129;278;01.08.2023;Alpes VD
Estonie;4;7;01.08.2023;Alpes VD
Etats-Unis d'Amérique;244;587;01.08.2023;Alpes VD
Finlande;10;38;01.08.2023;Alpes VD
France;1858;3586;01.08.2023;Alpes VD
Grèce;2;2;01.08.2023;Alpes VD
Hongkong;14;40;01.08.2023;Alpes VD
Hongrie;11;36;01.08.2023;Alpes VD
Inde;33;65;01.08.2023;Alpes VD
Irlande (Eire);14;18;01.08.2023;Alpes VD
Islande;;;01.08.2023;Alpes VD
Israël;40;79;01.08.2023;Alpes VD
Italie;230;423;01.08.2023;Alpes VD
Japon;48;131;01.08.2023;Alpes VD
Koweït;65;246;01.08.2023;Alpes VD
Lettonie;6;8;01.08.2023;Alpes VD
Liechtenstein;3;3;01.08.2023;Alpes VD
Lituanie;5;12;01.08.2023;Alpes VD
Luxembourg;30;71;01.08.2023;Alpes VD
Malaisie;1;1;01.08.2023;Alpes VD
Malte;;;01.08.2023;Alpes VD
Mexique;77;139;01.08.2023;Alpes VD
Norvège;3;5;01.08.2023;Alpes VD
Nouvelle-Zélande, Océanie;3;3;01.08.2023;Alpes VD
Oman;3;3;01.08.2023;Alpes VD
Pays-Bas;188;371;01.08.2023;Alpes VD
Philippines;3;6;01.08.2023;Alpes VD
Pologne;26;61;01.08.2023;Alpes VD
Portugal;42;75;01.08.2023;Alpes VD
Qatar;17;39;01.08.2023;Alpes VD
République de Corée;2;3;01.08.2023;Alpes VD
République tchèque;155;403;01.08.2023;Alpes VD
Roumanie;10;30;01.08.2023;Alpes VD
Royaume-Uni;363;845;01.08.2023;Alpes VD
Russie;44;105;01.08.2023;Alpes VD
Serbie;;;01.08.2023;Alpes VD
Singapour;9;34;01.08.2023;Alpes VD
Slovaquie;9;21;01.08.2023;Alpes VD
Slovénie;;;01.08.2023;Alpes VD
Suède;13;27;01.08.2023;Alpes VD
Suisse;15297;33505;01.08.2023;Alpes VD
Thaïlande;22;62;01.08.2023;Alpes VD
Turquie;50;111;01.08.2023;Alpes VD
Ukraine;23;32;01.08.2023;Alpes VD
Allemagne;248;580;01.08.2023;Aigle-Leysin-Les Mosses
Arabie Saoudite;13;25;01.08.2023;Aigle-Leysin-Les Mosses
Australie;4;4;01.08.2023;Aigle-Leysin-Les Mosses
Autres Amérique du Sud;1;4;01.08.2023;Aigle-Leysin-Les Mosses
Autres Asie de l'Est;8;8;01.08.2023;Aigle-Leysin-Les Mosses
Autres Europe;5;9;01.08.2023;Aigle-Leysin-Les Mosses
Autriche;13;13;01.08.2023;Aigle-Leysin-Les Mosses
Belgique;966;9241;01.08.2023;Aigle-Leysin-Les Mosses
Biélorussie;;;01.08.2023;Aigle-Leysin-Les Mosses
Canada;2;14;01.08.2023;Aigle-Leysin-Les Mosses
Chine (sans Hongkong);17;23;01.08.2023;Aigle-Leysin-Les Mosses
Chypre;2;2;01.08.2023;Aigle-Leysin-Les Mosses
Danemark;2;2;01.08.2023;Aigle-Leysin-Les Mosses
Egypte;;;01.08.2023;Aigle-Leysin-Les Mosses
Emirats Arabes Unis;4;4;01.08.2023;Aigle-Leysin-Les Mosses
Espagne;34;127;01.08.2023;Aigle-Leysin-Les Mosses
Estonie;;;01.08.2023;Aigle-Leysin-Les Mosses
Etats-Unis d'Amérique;48;64;01.08.2023;Aigle-Leysin-Les Mosses
France;188;337;01.08.2023;Aigle-Leysin-Les Mosses
Hongrie;5;5;01.08.2023;Aigle-Leysin-Les Mosses
Irlande (Eire);1;1;01.08.2023;Aigle-Leysin-Les Mosses
